,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim
0,Clubman,Petrol,2.0L,Automatic,"5,983 miles",5,302 bhp,2020 (70),34.9,Estate,169 g/km,WHITE,1.0,Euro 6,£199,"£30,700",,
1,Countryman,Petrol,1.5L,Automatic,"16,561 miles",5,134 bhp,2017 (67),51.4,Hatchback,126 g/km,BLUE,,Euro 6,£199,"£24,000",19-09-2022,
2,Clubman,Petrol,2.0L,Automatic,"20,183 miles",5,189 bhp,2019 (69),42.2,Estate,127 g/km,GREY,1.0,Euro 6,£199,"£23,900",,
3,Convertible,Petrol,1.5L,Manual,"12,670 miles",3,134 bhp,2020 (20),44.8,Convertible,128 g/km,BLACK,2.0,Euro 6,£199,"£23,600",,
4,Hatchback,Petrol,1.5L,Automatic,"3,356 miles",5,134 bhp,2020 (70),47.1,Hatchback,119 g/km,CHILI RED,2.0,Euro 6,£199,"£23,500",,
5,Countryman,Petrol,2.0L,Automatic,"44,747 miles",5,189 bhp,2018 (68),38.2,Hatchback,136 g/km,CHILI RED,1.0,Euro 6,£199,"£23,200",26-09-2022,
6,Countryman,Petrol,2.0L,Automatic,"30,718 miles",5,189 bhp,2019 (68),38.2,Hatchback,138 g/km,WHITE,1.0,Euro 6,£199,"£23,000",,
7,Hatchback,Petrol,2.0L,Automatic,"18,533 miles",5,189 bhp,2020 (20),44.8,Hatchback,127 g/km,GREY,2.0,Euro 6,£199,"£22,800",,
8,Countryman,Petrol,1.5L,Automatic,"24,487 miles",5,134 bhp,2018 (68),39.8,Hatchback,132 g/km,LIGHT WHITE,1.0,Euro 6,£199,"£22,100",04-10-2022,
9,Hatchback,Petrol,2.0L,Automatic,"11,921 miles",3,228 bhp,2017 (17),49.6,Hatchback,133 g/km,MOONWALK GREY,,Euro 6,£199,"£21,200",07-12-2021,
10,Hatchback,Petrol,2.0L,Automatic,"15,224 miles",3,189 bhp,2019 (69),44.8,Hatchback,128 g/km,CHILI RED,1.0,Euro 6,£199,"£21,000",,
11,Hatchback,Petrol,2.0L,Manual,"20,887 miles",3,189 bhp,2019 (19),40.4,Hatchback,147 g/km,WHITE SILVER,1.0,Euro 6,£199,"£19,900",,
12,Hatchback,Petrol,1.5L,Automatic,"22,687 miles",5,134 bhp,2019 (19),47.9,Hatchback,114 g/km,BRITISH RACING GREEN,1.0,Euro 6,£199,"£19,900",,
13,Hatchback,Petrol,2.0L,Automatic,"26,692 miles",3,189 bhp,2018 (68),42.8,Hatchback,129 g/km,WHITE SILVER,1.0,Euro 6,£199,"£19,500",,
14,Hatchback,Petrol,2.0L,Automatic,"18,580 miles",5,189 bhp,2018 (18),52.3,Hatchback,123 g/km,ELECTRIC BLUE,2.0,Euro 6,£199,"£19,200",09-08-2022,
15,Hatchback,Petrol,2.0L,Automatic,"6,419 miles",3,189 bhp,2017 (67),54.3,Hatchback,122 g/km,BLUE,1.0,Euro 6,£199,"£19,000",22-09-2022,
16,Countryman,Petrol,1.5L,Manual,"31,364 miles",5,134 bhp,2019 (68),40.9,Hatchback,134 g/km,Melting Silver Metallic,1.0,Euro 6,£199,"£18,900",,
17,Countryman,Petrol,1.5L,Manual,"32,756 miles",5,134 bhp,2018 (68),40.9,Hatchback,134 g/km,Island Blue Metallic,1.0,Euro 6,£199,"£18,900",21-09-2022,
18,Hatchback,Petrol,1.5L,Automatic,"26,212 miles",5,134 bhp,2019 (19),47.9,Hatchback,114 g/km,BRITISH RACING GREEN,1.0,Euro 6,£199,"£18,710",,
19,Hatchback,Petrol,1.5L,Automatic,"24,957 miles",5,134 bhp,2018 (68),46.3,Hatchback,119 g/km,Melting Silver Metallic,1.0,Euro 6,£199,"£18,500",14-11-2022,
20,Hatchback,Petrol,2.0L,Manual,"23,351 miles",5,189 bhp,2018 (68),40.9,Hatchback,148 g/km,RED,1.0,Euro 6,£199,"£18,500",,
21,Countryman,Petrol,1.5L,Automatic,"60,404 miles",5,134 bhp,2017 (17),47.1,Hatchback,136 g/km,CHILI RED,2.0,Euro 6,£199,"£18,400",30-08-2022,
